character,animationState,fileName,tilesetTileWidth,tilesetTileHeight,numAnimationFrames,originX,originY,defaultAnimationStepsPerSecond
0,0,archer_attack.png,96,96,13,48,80,8.0
0,1,archer_die.png,128,128,13,64,95,18.0
0,2,archer_hit.png,96,96,9,48,80,8.0
0,3,archer_run.png,96,96,8,48,80,8.0
0,5,archer_stop.png,96,96,1,48,80,8.0
0,6,archer_walk.png,96,96,8,48,80,8.0
1,0,bat_attack.png,128,128,10,64,95,8.0
1,1,bat_die.png,128,128,13,64,95,22.0
1,2,bat_hit.png,128,128,8,64,95,8.0
1,5,bat_stop.png,128,128,12,64,95,8.0
1,6,bat_walk.png,128,128,12,64,95,8.0
2,0,dino_attack.png,128,128,13,64,95,8.0
2,1,dino_die.png,128,128,11,64,95,16.0
2,2,dino_hit.png,128,128,9,64,95,8.0
2,3,dino_run.png,128,128,8,64,95,8.0
2,5,dino_stop.png,128,128,1,64,95,8.0
2,6,dino_walk.png,128,128,8,64,95,8.0
3,0,ghost_attack.png,96,96,13,48,80,8.0
3,1,ghost_die.png,96,96,9,48,80,12.0
3,2,ghost_hit.png,96,96,9,48,80,8.0
3,5,ghost_stop.png,96,96,8,48,80,8.0
3,6,ghost_walk.png,96,96,8,48,80,8.0
4,0,gnome_attack.png,96,96,10,48,80,6.5
4,1,gnome_die.png,96,96,9,48,80,16.0
4,2,gnome_hit.png,96,96,7,48,80,6.5
4,3,gnome_run.png,96,96,9,48,80,9.0
4,5,gnome_stop.png,96,96,1,48,80,8.0
4,6,gnome_walk.png,96,96,9,48,80,8.0
5,0,knight_attack.png,128,128,12,64,95,8.0
5,1,knight_die.png,128,128,13,64,95,16.0
5,2,knight_hit.png,128,128,12,64,95,10.0
5,3,knight_run.png,128,128,12,64,95,10.0
5,5,knight_stop.png,96,96,1,48,80,8.0
5,6,knight_walk.png,96,96,12,48,79,8.0
6,0,mage_attack.png,96,96,13,48,80,8.0
6,1,mage_die.png,128,128,13,64,95,16.0
6,2,mage_hit.png,96,96,9,48,80,8.0
6,3,mage_run.png,96,96,8,48,80,8.0
6,4,mage_spell.png,96,96,13,48,80,8.0
6,5,mage_stop.png,96,96,1,48,80,8.0
6,6,mage_walk.png,96,96,8,48,80,8.0
7,0,monk_attack.png,96,96,13,48,80,8.0
7,1,monk_die.png,96,96,9,48,80,14.0
7,2,monk_hit.png,96,96,7,48,80,7.0
7,3,monk_run.png,96,96,9,48,80,8.0
7,4,monk_spell.png,96,96,11,48,80,8.0
7,5,monk_stop.png,96,96,1,48,80,8.0
7,6,monk_walk.png,96,96,9,48,80,8.0
8,0,ogre_attack.png,128,128,11,64,95,8.0
8,1,ogre_die.png,128,128,11,64,95,16.0
8,2,ogre_hit.png,96,96,9,48,80,8.0
8,3,ogre_run.png,96,96,8,48,80,8.0
8,5,ogre_stop.png,96,96,1,48,80,8.0
8,6,ogre_walk.png,96,96,8,48,80,7.0
9,0,orc_attack.png,96,96,13,48,80,8.0
9,1,orc_die.png,128,128,13,64,95,18.0
9,2,orc_hit.png,96,96,9,48,80,8.0
9,3,orc_run.png,96,96,8,48,80,8.0
9,5,orc_stop.png,96,96,1,48,80,8.0
9,6,orc_walk.png,96,96,8,48,80,7.5
10,0,spider_attack.png,96,96,9,48,80,6.5
10,1,spider_die.png,96,96,11,48,80,15.0
10,2,spider_hit.png,96,96,9,48,80,8.0
10,4,spider_spell.png,96,96,9,48,80,8.0
10,5,spider_stop.png,96,96,1,48,80,8.0
10,6,spider_walk.png,96,96,8,48,80,8.0
11,0,wolf_attack.png,96,96,9,48,80,7.0
11,1,wolf_die.png,96,96,9,48,80,15.5
11,2,wolf_hit.png,96,96,9,48,80,8.0
11,3,wolf_run.png,96,96,8,48,80,8.0
11,5,wolf_stop.png,96,96,1,48,80,8.0
11,6,wolf_walk.png,96,96,8,48,80,8.0
12,0,zombie_attack.png,96,96,11,48,80,8.0
12,1,zombie_die.png,96,96,9,48,80,14.0
12,2,zombie_hit.png,96,96,9,48,80,8.0
12,5,zombie_stop.png,96,96,1,48,80,8.0
12,6,zombie_walk.png,96,96,8,48,80,8.0
13,0,greenzombie_attack.png,96,96,11,48,80,8.0
13,1,greenzombie_die.png,96,96,9,48,80,14.0
13,2,greenzombie_hit.png,96,96,9,48,80,8.0
13,5,greenzombie_stop.png,96,96,1,48,80,8.0
13,6,greenzombie_walk.png,96,96,8,48,80,8.0
14,0,pinkzombie_attack.png,96,96,11,48,80,8.0
14,1,pinkzombie_die.png,96,96,9,48,80,14.0
14,2,pinkzombie_hit.png,96,96,9,48,80,8.0
14,5,pinkzombie_stop.png,96,96,1,48,80,8.0
14,6,pinkzombie_walk.png,96,96,8,48,80,8.0
15,0,greendino_attack.png,128,128,13,64,95,8.0
15,1,greendino_die.png,128,128,11,64,95,16.0
15,2,greendino_hit.png,128,128,9,64,95,8.0
15,3,greendino_run.png,128,128,8,64,95,8.0
15,5,greendino_stop.png,128,128,1,64,95,8.0
15,6,greendino_walk.png,128,128,8,64,95,8.0
16,1,sheep_die.png,64,64,7,32,42,13.0
16,5,sheep_stop.png,64,64,9,48,80,8.0
16,6,sheep_walk.png,64,64,9,48,80,8.0
17,0,crocy_attack.png,128,128,11,64,95,8.0
17,1,crocy_die.png,128,128,11,64,95,15.0
17,2,crocy_hit.png,128,128,9,64,95,8.0
17,3,crocy_run.png,128,128,8,64,95,8.0
17,5,crocy_stop.png,128,128,1,64,95,8.0
17,6,crocy_walk.png,128,128,8,64,95,7.0
18,0,blueknight_attack.png,96,96,13,48,80,8.0
18,1,blueknight_die.png,128,128,9,64,95,13.5
18,2,blueknight_hit.png,96,96,9,48,80,8.0
18,3,blueknight_run.png,96,96,8,48,80,8.0
18,4,blueknight_spell.png,96,96,9,48,80,8.0
18,5,blueknight_stop.png,96,96,9,48,80,8.0
18,6,blueknight_walk.png,96,96,8,48,79,7.5
19,0,redknight_attack.png,96,96,13,48,80,8.0
19,1,redknight_die.png,128,128,9,64,95,13.5
19,2,redknight_hit.png,96,96,9,48,80,8.0
19,3,redknight_run.png,96,96,8,48,80,8.0
19,4,redknight_spell.png,96,96,9,48,80,8.0
19,5,redknight_stop.png,96,96,9,48,80,8.0
19,6,redknight_walk.png,96,96,8,48,79,7.5
20,0,greenknight_attack.png,96,96,13,48,80,8.0
20,1,greenknight_die.png,128,128,9,64,95,13.5
20,2,greenknight_hit.png,96,96,9,48,80,8.0
20,3,greenknight_run.png,96,96,8,48,80,8.0
20,4,greenknight_spell.png,96,96,9,48,80,8.0
20,5,greenknight_stop.png,96,96,9,48,80,8.0
20,6,greenknight_walk.png,96,96,8,48,79,7.5
21,0,blackknight_attack.png,96,96,13,48,80,8.0
21,1,blackknight_die.png,128,128,9,64,95,13.5
21,2,blackknight_hit.png,96,96,9,48,80,8.0
21,3,blackknight_run.png,96,96,8,48,80,8.0
21,4,blackknight_spell.png,96,96,9,48,80,8.0
21,5,blackknight_stop.png,96,96,9,48,80,8.0
21,6,blackknight_walk.png,96,96,8,48,79,7.5
22,0,darkdwarf_attack.png,128,128,13,64,95,8.0
22,1,darkdwarf_die.png,128,128,11,64,95,16.0
22,2,darkdwarf_hit.png,96,96,9,48,80,7.5
22,3,darkdwarf_run.png,96,96,8,48,80,8.0
22,5,darkdwarf_stop.png,96,96,1,48,80,8.0
22,6,darkdwarf_walk.png,96,96,8,48,80,8.0
23,0,greendwarf_attack.png,128,128,13,64,95,8.0
23,1,greendwarf_die.png,128,128,11,64,95,16.0
23,2,greendwarf_hit.png,96,96,9,48,80,7.5
23,3,greendwarf_run.png,96,96,8,48,80,8.0
23,5,greendwarf_stop.png,96,96,1,48,80,8.0
23,6,greendwarf_walk.png,96,96,8,48,80,8.0
24,5,scarecrow_stop.png,80,80,1,40,65,8.0
24,1,scarecrow_die.png,80,80,1,40,65,8.0
